分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 321, IPv6: 0, 最小延迟: 297 ms, 最高速率: 8.34 M/s, 平均速率: 4.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 247, IPv6: 0, 最小延迟: 351 ms, 最高速率: 4.64 M/s, 平均速率: 3.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 272, IPv6: 0, 最小延迟: 217 ms, 最高速率: 8.37 M/s, 平均速率: 4.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 23.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 276, IPv6: 0, 最小延迟: 370 ms, 最高速率: 6.99 M/s, 平均速率: 3.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 249, IPv6: 0, 最小延迟: 323 ms, 最高速率: 2.81 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-5+, 有效: 6, IPv4: 211, IPv6: 0, 最小延迟: 71 ms, 最高速率: 53.49 M/s, 平均速率: 10.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 241, IPv6: 0, 最小延迟: 387 ms, 最高速率: 3.05 M/s, 平均速率: 1.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 250, IPv6: 0, 最小延迟: 361 ms, 最高速率: 3.79 M/s, 平均速率: 3.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 245, IPv6: 0, 最小延迟: 374 ms, 最高速率: 4.87 M/s, 平均速率: 3.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 255, IPv6: 0, 最小延迟: 319 ms, 最高速率: 3.58 M/s, 平均速率: 2.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 234, IPv6: 0, 最小延迟: 401 ms, 最高速率: 9.05 M/s, 平均速率: 3.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 244, IPv6: 0, 最小延迟: 353 ms, 最高速率: 3.28 M/s, 平均速率: 2.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 257, IPv6: 0, 最小延迟: 292 ms, 最高速率: 8.24 M/s, 平均速率: 4.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 244, IPv6: 0, 最小延迟: 414 ms, 最高速率: 8.72 M/s, 平均速率: 5.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 239, IPv6: 0, 最小延迟: 364 ms, 最高速率: 2.52 M/s, 平均速率: 2.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-16, 有效: 6, IPv4: 165, IPv6: 0, 最小延迟: 64 ms, 最高速率: 7.40 M/s, 平均速率: 2.50 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.17, 视频编解码器: hevc, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 218, IPv6: 0, 最小延迟: 352 ms, 最高速率: 3.33 M/s, 平均速率: 2.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-1, 有效: 6, IPv4: 147, IPv6: 0, 最小延迟: 57 ms, 最高速率: 9.73 M/s, 平均速率: 5.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-2, 有效: 4, IPv4: 85, IPv6: 0, 最小延迟: 58 ms, 最高速率: 9.73 M/s, 平均速率: 7.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-3, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 408 ms, 最高速率: 5.91 M/s, 平均速率: 5.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-4, 有效: 5, IPv4: 118, IPv6: 0, 最小延迟: 53 ms, 最高速率: 5.81 M/s, 平均速率: 4.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 央视台球, 有效: 6, IPv4: 57, IPv6: 0, 最小延迟: 72 ms, 最高速率: 8.97 M/s, 平均速率: 7.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 文化精品, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 392 ms, 最高速率: 8.41 M/s, 平均速率: 8.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 5, IPv4: 60, IPv6: 0, 最小延迟: 331 ms, 最高速率: 8.71 M/s, 平均速率: 5.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 78, IPv6: 0, 最小延迟: 297 ms, 最高速率: 8.95 M/s, 平均速率: 7.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 5, IPv4: 63, IPv6: 0, 最小延迟: 145 ms, 最高速率: 34.65 M/s, 平均速率: 12.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
