🐉央视频道,#genre#
CCTV1,http://111.56.90.90/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/1.m3u8?fmt=ts2hls
CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8
CCTV17,http://1.24.39.180:808/hls/61/index.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8

CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV5,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV6,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV8,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV9,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV10,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV11,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV12,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV13,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV14,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV15,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV16,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV17,http://223.95.198.3:8000/hls/17/index.m3u8
CCTV5+,http://183.237.71.182:40000/hls/16/index.m3u8

CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8

CCTV1,http://27.129.145.110:4433/hls/1/index.m3u8
CCTV2,http://27.129.145.110:4433/hls/2/index.m3u8
CCTV3,http://27.129.145.110:4433/hls/3/index.m3u8
CCTV4,http://27.129.145.110:4433/hls/4/index.m3u8
CCTV5,http://27.129.145.110:4433/hls/5/index.m3u8
CCTV6 ,http://27.129.145.110:4433/hls/6/index.m3u8
CCTV7,http://27.129.145.110:4433/hls/7/index.m3u8
CCTV8,http://27.129.145.110:4433/hls/8/index.m3u8
CCTV9,http://27.129.145.110:4433/hls/9/index.m3u8
CCTV10,http://27.129.145.110:4433/hls/10/index.m3u8
CCTV11,http://27.129.145.110:4433/hls/11/index.m3u8
CCTV12,http://27.129.145.110:4433/hls/12/index.m3u8
CCTV13,http://27.129.145.110:4433/hls/13/index.m3u8
CCTV14,http://27.129.145.110:4433/hls/14/index.m3u8
CCTV15,http://27.129.145.110:4433/hls/15/index.m3u8
CCTV16,http://27.129.145.110:4433/hls/16/index.m3u8
CCTV17,http://27.129.145.110:4433/hls/17/index.m3u8

CCTV1,https://xmlive.zeabur.app/yw/whyd?id=cctv1
CCTV3,https://xmlive.zeabur.app/yw/whyd?id=cctv3
CCTV5,https://xmlive.zeabur.app/yw/whyd?id=cctv5
CCTV6,https://xmlive.zeabur.app/yw/whyd?id=cctv6
CCTV8,https://xmlive.zeabur.app/yw/whyd?id=cctv8
CCTV11,https://xmlive.zeabur.app/yw/whyd?id=cctv11
CCTV13,https://xmlive.zeabur.app/yw/whyd?id=cctv13
CCTV15,https://xmlive.zeabur.app/yw/whyd?id=cctv15
CCTV16,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV17,https://xmlive.zeabur.app/yw/whyd?id=cctv17
CCTV5+,https://xmlive.zeabur.app/yw/whyd?id=cctv5p

CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV5,http://222.223.41.27:8888/hls/5/index.m3u8
