🇨🇳央视频道,#genre#
天线信号
CCTV-1综合,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV-2财经,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV-3综艺,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV-4中文国际,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV-5体育,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV-5+体育赛事,http://hs.hejd.net:7088/rtp/233.50.201.220:5140
CCTV-6电影,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV-7国防军事,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV-8电视剧,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV-9纪录,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV-10科教,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV-11戏曲,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV-12社会与法,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV-13新闻,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV-14少儿,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV-15音乐,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV-16奥林匹克,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV-17农业农村,http://223.95.198.3:8000/hls/17/index.m3u8
CCTV-4K超高清,http://223.95.198.3:8000/hls/18/index.m3u8
CCTV-4K超高清,http://hs.hejd.net:7088/rtp/233.50.201.226:5140

CCTV-1综合,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-2财经,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV-3综艺,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-4中文国际,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV-5体育,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV-5+体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV-6电影,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV-7国防军事,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV-8电视剧,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV-9纪录,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV-10科教,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV-11戏曲,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV-12社会与法,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV-13新闻,http://183.129.255.66:8480/hls/14/index.m3u8
